tempbeta	mu	density	err	doublon	err	
3.9526e+00	-1.0512e+00	6.1631e-02	2.4311e-04	2.4406e-04	4.3255e-08	
3.9526e+00	-1.0110e+00	7.1788e-02	6.1457e-05	3.3155e-04	3.0196e-08	
3.9526e+00	-9.7080e-01	8.3479e-02	2.3501e-04	4.4965e-04	9.4645e-08	
3.9526e+00	-9.3060e-01	9.6354e-02	2.0305e-04	6.0883e-04	1.3381e-07	
3.9526e+00	-8.9040e-01	1.1140e-01	3.7695e-04	8.2208e-04	2.8179e-07	
3.9526e+00	-8.5020e-01	1.2802e-01	4.3964e-04	1.1076e-03	4.8587e-07	
3.9526e+00	-8.1000e-01	1.4806e-01	3.3885e-04	1.4862e-03	5.2569e-07	
3.9526e+00	-7.6980e-01	1.6958e-01	4.0440e-04	1.9891e-03	8.4739e-07	
3.9526e+00	-7.2960e-01	1.9429e-01	2.8746e-04	2.6509e-03	9.9437e-07	
3.9526e+00	-6.8940e-01	2.2108e-01	2.6973e-04	3.5205e-03	1.3517e-06	
3.9526e+00	-6.4920e-01	2.4999e-01	3.5656e-04	4.6564e-03	2.0832e-06	
3.9526e+00	-6.0900e-01	2.9294e-01	3.7475e-04	7.1314e-03	4.4991e-05	
3.9526e+00	-5.6880e-01	3.1693e-01	5.0441e-04	8.0193e-03	5.7381e-06	
3.9526e+00	-5.2860e-01	3.5532e-01	4.1018e-04	1.0421e-02	6.2969e-06	
3.9526e+00	-4.8840e-01	3.9701e-01	4.1876e-04	1.3442e-02	8.9757e-06	
3.9526e+00	-4.4820e-01	4.4036e-01	5.8323e-04	1.7243e-02	1.7490e-05	
3.9526e+00	-4.0800e-01	4.8489e-01	3.5526e-04	2.2001e-02	1.5012e-05	
3.9526e+00	-3.6780e-01	5.3276e-01	7.6967e-04	2.7787e-02	4.5703e-05	
3.9526e+00	-3.2760e-01	5.8196e-01	3.6274e-04	3.4825e-02	3.0297e-05	
3.9526e+00	-2.8740e-01	6.3137e-01	4.4074e-04	4.3413e-02	5.2064e-05	
3.9526e+00	-2.4720e-01	6.8203e-01	5.5544e-04	5.3640e-02	9.3352e-05	
3.9526e+00	-2.0700e-01	7.3373e-01	1.4411e-04	6.5632e-02	3.6358e-05	
3.9526e+00	-1.6680e-01	7.8522e-01	1.8090e-04	7.9801e-02	6.8112e-05	
3.9526e+00	-1.2660e-01	8.3647e-01	2.3208e-04	9.6499e-02	1.3793e-04	
3.9526e+00	-8.6400e-02	8.8853e-01	1.2564e-04	1.1528e-01	1.2873e-04	
3.9526e+00	-4.6200e-02	9.4046e-01	1.1350e-04	1.3663e-01	2.6005e-04	
3.9526e+00	-6.0000e-03	9.9227e-01	9.8099e-06	1.6073e-01	2.0486e-04	
3.9526e+00	3.4200e-02	1.0440e+00	4.4485e-05	1.8724e-01	1.7825e-04	
3.9526e+00	7.4400e-02	1.0958e+00	1.6576e-04	2.1699e-01	3.7587e-04	
3.9526e+00	1.1460e-01	1.1479e+00	9.8402e-05	2.4974e-01	1.6354e-04	
3.9526e+00	1.5480e-01	1.1993e+00	4.2873e-04	2.8372e-01	6.1091e-04	
3.9526e+00	1.9500e-01	1.2512e+00	3.5221e-04	3.2095e-01	4.5056e-04	
3.9526e+00	2.3520e-01	1.3026e+00	2.8536e-04	3.5957e-01	3.3955e-04	
3.9526e+00	2.7540e-01	1.3530e+00	5.2561e-04	3.9921e-01	5.9536e-04	
3.9526e+00	3.1560e-01	1.4035e+00	5.4279e-04	4.4070e-01	5.9253e-04	
3.9526e+00	3.5580e-01	1.4545e+00	6.0693e-04	4.8439e-01	6.4652e-04	
3.9526e+00	3.9600e-01	1.5009e+00	6.5614e-04	5.2451e-01	6.8694e-04	
3.9526e+00	4.3620e-01	1.5461e+00	5.1981e-04	5.6466e-01	5.3767e-04	
3.9526e+00	4.7640e-01	1.5911e+00	8.6501e-04	6.0559e-01	8.8619e-04	
3.9526e+00	5.1660e-01	1.6307e+00	4.5571e-04	6.4192e-01	4.6365e-04	
3.9526e+00	5.5680e-01	1.6702e+00	7.0269e-04	6.7881e-01	7.1159e-04	
3.9526e+00	5.9700e-01	1.7073e+00	3.4288e-04	7.1396e-01	3.4586e-04	
3.9526e+00	6.3720e-01	1.7401e+00	1.8019e-04	7.4512e-01	1.8126e-04	
3.9526e+00	6.7740e-01	1.7714e+00	3.0606e-04	7.7528e-01	3.0754e-04	
